"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"28",6.70557460454323e-23,4.64113789981235,0.433,0.162,2.01167238136297e-19,"13","CEP112"
"29",4.26554515891752e-08,5.38816225460864,0.362,0.204,0.000127966354767526,"13","ENSFALG00000005584"
"30",1.30643595547692e-07,4.66514396433519,0.369,0.15,0.000391930786643076,"13","ADAMTS6"
"31",6.26180525355429e-107,5.35839577777171,0.97,0.256,1.87854157606629e-103,"9","HMGB1"
"32",3.89564995124565e-105,6.34155242435842,0.98,0.353,1.1686949853737e-101,"9","RPS24"
"33",7.79437328620125e-105,6.15887036669401,0.965,0.305,2.33831198586038e-101,"9","H2AFZ"
"34",7.56772904138643e-100,5.56856136146147,0.965,0.333,2.27031871241593e-96,"9","ENSFALG00000008965"
"35",1.44848672901436e-93,5.6938563631002,0.935,0.35,4.34546018704308e-90,"9","ENSFALG00000000048"
"36",4.15599639459526e-88,5.80665600716797,0.925,0.35,1.24679891837858e-84,"9","ENSFALG00000013662"
"37",8.38449947781096e-81,5.37211841445584,0.94,0.389,2.51534984334329e-77,"9","RPS8"
"38",7.2223670809879e-75,5.0901415354429,0.896,0.351,2.16671012429637e-71,"9","RPS6"
"39",1.09501589888886e-72,5.08359400842877,0.662,0.1,3.28504769666657e-69,"9","PARP1"
"40",3.21508454280305e-68,5.55315345069787,0.811,0.328,9.64525362840914e-65,"9","RPS20"
"41",1.94941920611748e-56,5.80349139778143,0.942,0.324,5.84825761835244e-53,"16","MT3"
"42",1.84858558221922e-51,6.42080488937929,0.885,0.322,5.54575674665766e-48,"16","MT4"
"43",7.17727527351767e-49,5.77582657075974,0.923,0.214,2.1531825820553e-45,"16","ENSFALG00000008993"
"44",1.22425128560604e-47,5.57039116860133,0.913,0.228,3.67275385681813e-44,"16","DBI"
"45",5.67094932912359e-47,6.79949016899656,0.865,0.189,1.70128479873708e-43,"16","ENSFALG00000007185"
"46",3.94376255314767e-46,5.36697238818425,0.875,0.188,1.1831287659443e-42,"16","VIM"
"47",1.16995168325094e-44,5.39725856025962,0.856,0.207,3.50985504975281e-41,"16","ENSFALG00000002183"
"48",1.73434952443311e-38,5.53522695939196,0.75,0.108,5.20304857329932e-35,"16","ENSFALG00000001874"
"49",1.02787441783951e-37,5.38817863264648,0.865,0.301,3.08362325351854e-34,"16","ENSFALG00000009589"
"50",2.25805441930098e-35,5.72038790040709,0.76,0.175,6.77416325790294e-32,"16","ENSFALG00000008587"
"51",4.76200479154e-118,5.57766508397244,0.958,0.292,1.428601437462e-114,"6","CALM2"
"52",9.97838080192184e-101,5.62419742310339,0.873,0.207,2.99351424057655e-97,"6","UCHL1"
"53",3.13077352071543e-95,6.12461688433295,0.81,0.179,9.39232056214628e-92,"6","CCDC152"
"54",7.26239295798942e-90,5.00492699012247,0.848,0.278,2.17871788739683e-86,"6","DUT"
"55",1.28917567752189e-87,4.83198711884557,0.785,0.206,3.86752703256567e-84,"6","TOP2A"
"56",1.10380375466616e-76,5.19248656677401,0.629,0.103,3.31141126399849e-73,"6","DMC1"
"57",3.54669330601475e-68,6.01591876070844,0.738,0.31,1.06400799180442e-64,"6","ENSFALG00000022546"
"58",1.2707239443234e-63,4.78999571909022,0.658,0.154,3.81217183297019e-60,"6","DAPL1"
"59",2.3059233495433e-61,5.89060322550256,0.616,0.141,6.9177700486299e-58,"6","TERB2"
"60",9.24536680171259e-58,4.85231563913247,0.684,0.204,2.77361004051378e-54,"6","COMMD4"
"61",4.29437020016034e-199,6.16659438161823,0.959,0.244,1.2883110600481e-195,"2","ENSFALG00000020162"
"62",9.48020234650181e-189,5.63767616740266,0.947,0.156,2.84406070395054e-185,"2","ACTL10"
"63",1.19984440947635e-165,6.32567628205988,0.868,0.135,3.59953322842905e-162,"2","ENSFALG00000020389"
"64",6.25536800031132e-155,6.20489915935191,0.901,0.182,1.8766104000934e-151,"2","ENSFALG00000020028"
"65",3.02877741042663e-142,5.26426166204989,0.873,0.184,9.0863322312799e-139,"2","ENSFALG00000001723"
"66",4.48183641514249e-138,5.06431601626197,0.838,0.198,1.34455092454275e-134,"2","ARMC1"
"67",6.54503472163354e-136,5.01948523613729,0.835,0.116,1.96351041649006e-132,"2","ENSFALG00000022146"
"68",3.77554946659317e-134,5.10732590352655,0.782,0.098,1.13266483997795e-130,"2","ENSFALG00000007131"
"69",6.63046172887254e-120,5.21254529774636,0.716,0.146,1.98913851866176e-116,"2","ENSFALG00000021260"
"70",1.59562894447074e-57,5.02607396504666,0.574,0.106,4.78688683341223e-54,"2","ENSFALG00000000713"
"71",1.29227580076724e-67,8.09194812464628,0.963,0.095,3.87682740230171e-64,"15","ENSFALG00000011876"
"72",1.63458514957774e-66,8.77014055538101,0.944,0.133,4.90375544873321e-63,"15","ENSFALG00000020840"
"73",9.33084854379983e-66,7.82755680625946,0.917,0.047,2.79925456313995e-62,"15","ENSFALG00000016368"
"74",4.53722314131017e-57,7.15217052431084,0.852,0.078,1.36116694239305e-53,"15","ENSFALG00000019370"
"75",5.14489744906268e-55,7.13944319196828,0.833,0.146,1.54346923471881e-51,"15","CTPS1"
"76",5.70163155045554e-51,7.27110232117082,0.907,0.106,1.71048946513666e-47,"15","ENSFALG00000007330"
"77",5.38242908416261e-46,7.77226535563345,0.843,0.219,1.61472872524878e-42,"15","ENSFALG00000013178"
"78",4.99802987290451e-39,7.65523506893909,0.787,0.236,1.49940896187135e-35,"15","TDRP"
"79",9.21327346730283e-37,7.25318203479848,0.713,0.084,2.76398204019085e-33,"15","ENSFALG00000016913"
"80",4.05279653556915e-31,7.38635465958725,0.694,0.105,1.21583896067074e-27,"15","ENSFALG00000018812"
"81",3.35689381773052e-126,6.09244687582994,0.996,0.32,1.00706814531916e-122,"8","CKS2"
"82",5.28020535458682e-94,3.74371026072309,0.929,0.259,1.58406160637605e-90,"8","CBY1"
"83",9.06445526440536e-92,3.75626317302414,0.955,0.33,2.71933657932161e-88,"8","LSM6"
"84",8.75129181083875e-76,3.8521348264134,0.929,0.409,2.62538754325163e-72,"8","FAM43B"
"85",2.41619062830378e-74,3.3616901872574,0.835,0.204,7.24857188491134e-71,"8","APTX"
"86",5.29481606767833e-72,3.77789958881383,0.821,0.208,1.5884448203035e-68,"8","BUD23"
"87",1.91826377588398e-68,3.59056069852509,0.768,0.168,5.75479132765195e-65,"8","WDR91"
"88",4.5327807399214e-60,3.90943905426409,0.737,0.244,1.35983422197642e-56,"8","ENSFALG00000011092"
"89",3.66407444973759e-40,3.48577943832096,0.643,0.173,1.09922233492128e-36,"8","ALKBH3"
"90",3.77878778390673e-32,3.49629197666884,0.567,0.214,1.13363633517202e-28,"8","ACOT7"
"91",0,7.1039061072355,0.984,0.241,0,"0","ENSFALG00000013477"
"92",1.36424627694135e-293,6.06594428533933,0.974,0.269,4.09273883082404e-290,"0","CCNB2"
"93",4.6588999805744e-287,5.91005748898124,0.975,0.222,1.39766999417232e-283,"0","CKAP2"
"94",4.47732475634566e-267,6.02638981204423,0.884,0.135,1.3431974269037e-263,"0","UBE2C"
"95",1.42948915217022e-261,5.04028559617722,0.936,0.251,4.28846745651065e-258,"0","CDC20"
"96",3.0645516763154e-247,4.70841013773862,0.944,0.294,9.1936550289462e-244,"0","C18orf32"
"97",6.42828619940535e-238,5.34498519430399,0.882,0.204,1.9284858598216e-234,"0","CCNA1"
"98",1.92224063093402e-229,4.5939628152652,0.923,0.224,5.76672189280207e-226,"0","ENSFALG00000019475"
"99",1.09041538865529e-223,4.59226756601933,0.864,0.16,3.27124616596586e-220,"0","CCDC82"
"100",1.73489049874837e-202,5.16012831925917,0.744,0.082,5.2046714962451e-199,"0","ENSFALG00000002167"
"101",4.98268890422227e-68,7.18974782312722,0.991,0.247,1.49480667126668e-64,"14","ENSFALG00000021894"
"102",1.46150372075646e-59,6.33467295023761,0.89,0.151,4.38451116226939e-56,"14","ENSFALG00000010011"
"103",1.38775449077161e-51,6.09331598636736,0.78,0.149,4.16326347231483e-48,"14","ENSFALG00000018578"
"104",5.52498228263484e-49,5.37414851640037,0.844,0.229,1.65749468479045e-45,"14","MUL1"
"105",3.65701892493294e-48,6.1503058698797,0.844,0.191,1.09710567747988e-44,"14","RHPN1"
