"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"3951","ENSFALG00000018612",8.00414101098936e-56,5.18961307096321,0.794,0.169,2.40124230329681e-52,"13","ENSFALG00000018612"
"3952","ENSFALG00000018749",6.75925024528605e-39,1.81351095870063,0.37,0.129,2.02777507358581e-35,"0","ENSFALG00000018749"
"3953","ENSFALG00000018749",3.24797268082257e-14,1.03716207612076,0.333,0.158,9.74391804246771e-11,"15","ENSFALG00000018749"
"3954","ENSFALG00000018812",2.89227206063897e-55,0.674521502519418,0.734,0.104,8.6768161819169e-52,"14","ENSFALG00000018812"
"3955","ENSFALG00000018812",4.05279653556915e-31,7.38635465958725,0.694,0.105,1.21583896067074e-27,"15","ENSFALG00000018812"
"3956","ENSFALG00000018894",1.03927940344102e-50,0.592132852676699,0.951,0.307,3.11783821032307e-47,"12","ENSFALG00000018894"
"3957","ENSFALG00000018894",1.77269557366504e-42,0.275821069766322,0.681,0.301,5.31808672099511e-39,"4","ENSFALG00000018894"
"3958","ENSFALG00000018894",1.68752825410251e-67,1.7697786543363,0.975,0.304,5.06258476230752e-64,"11","ENSFALG00000018894"
"3959","ENSFALG00000018894",1.46216334604727e-84,2.80018422940944,0.98,0.298,4.38649003814182e-81,"10","ENSFALG00000018894"
"3960","ENSFALG00000018894",2.28904223202497e-81,3.6178764208805,0.879,0.298,6.86712669607492e-78,"7","ENSFALG00000018894"
"3961","ENSFALG00000018939",3.75998755252782e-18,2.24430769815719,0.713,0.337,1.12799626575835e-14,"15","ENSFALG00000018939"
"3962","ENSFALG00000018939",4.46204207493312e-107,1.12559653340654,0.809,0.284,1.33861262247994e-103,"1","ENSFALG00000018939"
"3963","ENSFALG00000018939",2.88748342592648e-150,3.29185912278923,0.954,0.286,8.66245027777943e-147,"2","ENSFALG00000018939"
"3964","ENSFALG00000018939",6.50745186663585e-98,0.937714353593723,0.981,0.305,1.95223555999075e-94,"5","ENSFALG00000018939"
